,date,volume,open,high,low,close,label,MA-5,MA-10,MA-20,MA-60,RSI-14,MACD,MACD_signal,MACD_hist,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,buy,sell,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
490,2014-11-28,4140826,105.0,105.0,102.0,103.0,0.0,0.008814887365327885,0.0246717071229605,0.03154732098147212,-0.025697619422985464,52.36680610074747,-0.4977764512434817,-1.2661889638763957,0.768412512632914,799,1,6482382,520,15844,15566, ,70,51,4,6482382,419,6067,5703,31803500,21491152,TW0002330008,5841333912,20088041044,22.52,77.47,100.0,100.0,25929374956,2014-05-20,5703000.0,419000.0,51000.0,4000.0,6067000.0,-2107551851.0,64550000.0,554000.0,2123000.0,0.0,62981000.0,6912967.0,0.0
491,2014-12-01,2810473,101.5,104.0,100.5,103.0,0.0,0.0029211295034078178,0.020913866587372237,0.02912524354298838,-0.02454423486701867,52.36680610074747,-0.3245299333025429,-1.0778571577616252,0.7533272244590823,1757,2,6482382,473,17126,15844, ,134,353,0,6482382,175,5889,6067,37586576,39340962,TW0002330008,5843810298,20085564658,22.53,77.46,100.0,100.0,25929374956,2014-05-20,6067000.0,175000.0,353000.0,0.0,5889000.0,-2107551851.0,62981000.0,317000.0,102000.0,0.0,63196000.0,6989612.0,0.0
492,2014-12-02,3409803,103.0,104.5,102.0,103.0,0.0,-2.759389265087767e-16,0.014778325123152568,0.02758517483912791,-0.023156563660791347,52.36680610074747,-0.18509713510604797,-0.8993051532305097,0.7142080181244618,931,1,6482382,873,17183,17126, ,121,594,3,6482382,94,5386,5889,42201000,38539624,TW0002330008,5838636922,20090738034,22.51,77.48,100.0,100.0,25929374956,2014-05-20,5889000.0,94000.0,594000.0,3000.0,5386000.0,-2107551851.0,63196000.0,86000.0,2222000.0,0.0,61060000.0,7183836.0,0.0
493,2014-12-03,6399119,104.0,108.5,103.0,106.0,0.0,0.01923076923076895,0.037385006850655635,0.053520846792227704,0.007444954855061511,58.36793540917069,0.16557069408045777,-0.6863299837683162,0.851900677848774,1120,0,6482382,540,17763,17183, ,259,427,3,6482382,100,5056,5386,26553752,35039329,TW0002330008,5847328298,20082046658,22.55,77.44,100.0,100.0,25929374956,2014-05-20,5386000.0,100000.0,427000.0,3000.0,5056000.0,-2107551851.0,61060000.0,210000.0,0.0,0.0,61270000.0,7012692.0,0.0
494,2014-12-04,3814135,107.0,108.0,105.0,105.0,0.0,0.00961538461538434,0.02239532619279452,0.03816491991299174,0.00015875535799386478,55.842414888850826,0.3586515210034378,-0.4773336828139654,0.8359852038174032,219,0,6482382,603,17379,17763, ,74,54,0,6482382,104,5106,5056,24167000,16141739,TW0002330008,5848214037,20081160919,22.55,77.44,100.0,100.0,25929374956,2014-05-20,5056000.0,104000.0,54000.0,0.0,5106000.0,-2107551851.0,61270000.0,76000.0,5185000.0,0.0,56161000.0,7013968.0,0.0
495,2014-12-05,4549999,106.0,109.5,105.5,107.5,0.0,0.024785510009532694,0.03864734299516908,0.056666830490981326,0.025029797377831307,60.449756589265235,0.7052686757607205,-0.2408132110990282,0.9460818868597487,837,1,6482382,584,17630,17378, ,46,199,0,6482382,45,4952,5106,18076928,24726028,TW0002330008,5855842137,20073532819,22.58,77.41,100.0,100.0,25929374956,2014-05-20,5106000.0,45000.0,199000.0,0.0,4952000.0,-2107551851.0,56161000.0,21000.0,0.0,0.0,56182000.0,6929103.0,0.0
496,2014-12-08,2523142,107.0,107.5,104.0,104.0,0.0,-0.010466222645100118,0.0009624639076034101,0.020758698532659176,-0.007712491055099944,52.232961165834844,0.6895952935818315,-0.05473151016285627,0.7443268037446877,199,0,6482382,339,17490,17630, ,27,60,10,6482382,44,4926,4952,14775000,15450837,TW0002330008,5856959974,20072414982,22.58,77.41,100.0,100.0,25929374956,2014-05-20,4952000.0,44000.0,60000.0,10000.0,4926000.0,-2107551851.0,56182000.0,0.0,126000.0,0.0,56056000.0,6893830.0,0.0
497,2014-12-09,2783839,105.0,106.5,103.5,104.0,0.0,-0.01234567901234592,-0.0014402304368699537,0.019757807520713693,-0.006764822920811195,52.23296116583486,0.6694569423752057,0.09010618034475612,0.5793507620304496,498,2,6482382,1145,16841,17490, ,63,87,2,6482382,110,4947,4926,27917938,19979295,TW0002330008,5849898331,20079476625,22.56,77.43,100.0,100.0,25929374956,2014-05-20,4926000.0,110000.0,87000.0,2000.0,4947000.0,-2107551851.0,56056000.0,0.0,3347000.0,0.0,52709000.0,6873219.0,0.0
498,2014-12-10,2726184,105.0,106.5,104.0,104.5,0.0,-0.004761904761905031,0.0,0.022654988501247572,-0.0015128593040841598,53.28500906513214,0.6859359328272916,0.20927213084126323,0.47666380198602837,1345,0,6482382,376,17810,16841, ,94,478,0,6482382,111,4580,4947,19064244,34540475,TW0002330008,5865362562,20064012394,22.62,77.37,100.0,100.0,25929374956,2014-05-20,4947000.0,111000.0,478000.0,0.0,4580000.0,-2107551851.0,52709000.0,0.0,53000.0,0.0,52656000.0,6906450.0,0.0
499,2014-12-11,3223922,104.0,107.0,103.5,106.5,0.0,0.01139601139601115,0.017677974199713276,0.03968370185971575,0.018489002231431895,57.333037844365585,0.8505740486193503,0.3375325143968806,0.5130415342224697,833,85,6482382,363,18195,17810, ,159,395,2,6482382,115,4298,4580,26666821,34025313,TW0002330008,5874088563,20055286393,22.65,77.34,100.0,100.0,25929374956,2014-05-20,4580000.0,115000.0,395000.0,2000.0,4298000.0,-2107551851.0,52656000.0,0.0,0.0,0.0,52656000.0,6946086.0,0.0
